dataset,Moirai2.0,Timer,TimesFM,GPFormer
OpenAccess,,,,
BIG IDEAS Lab,15.18 (3.24),16.24 (4.78),14.88 (3.00),
ShanghaiT1DM,12.50 (3.18),19.10 (6.16),12.11 (3.45),
ShanghaiT2DM,11.96 (3.45),15.60 (4.94),11.47 (3.31),
CGMacros,16.81 (4.36),17.42 (4.88),16.28 (4.18),
UCHTT1DM,14.67 (9.10),16.04 (10.22),14.41 (9.35),
HUPA-UCM,18.21 (5.45),24.59 (6.58),17.67 (5.19),
T1DM-UOM,22.55 (4.91),25.83 (5.33),21.89 (4.83),
Bris-T1D,19.64 (5.81),22.81 (6.17),19.00 (5.58),
AZT1D,21.23 (3.34),23.83 (3.93),20.53 (3.29),
Hall2018,13.16 (6.06),14.05 (7.11),12.96 (5.83),
DINAMO,21.06 (13.59),30.56 (21.02),20.65 (13.49),
Colas2019,,,,
Combined Open,15.48 (6.18),18.37 (7.69),15.01 (6.04),
ControlledAccess,,,,
OhioT1DM,20.24 (2.46),24.58 (2.89),,
DiaTrend,26.02 (4.96),30.22 (5.90),,
T1DEXI,21.44 (5.07),24.48 (5.88),20.70 (4.88),
Combined All,19.48 (6.38),22.55 (7.45),18.41 (6.05),
